Computer Name,IPv4,MAC Address,Collage,Lab
LAB-BH-01,10.200.25.121,5C-F9-DD-E9-86-09  ,General,Buchanan 234A
LAB-BH-02,10.200.24.205,5C-F9-DD-E9-7F-E0  ,General,Buchanan 234A
LAB-BH-03,10.200.24.196,5C-F9-DD-E9-8C-37  ,General,Buchanan 234A
LAB-BH-04,10.200.24.220,5C-F9-DD-E9-7F-E5  ,General,Buchanan 234A
LAB-BH-05,10.200.25.122,5C-F9-DD-E9-80-02  ,General,Buchanan 234A
LAB-BH-06,10.200.25.120,5C-F9-DD-E9-8C-37,General,Buchanan 234A
LAB-BH-07,10.200.24.185,5C-F9-DD-E9-7A-4F  ,General,Buchanan 234A
LAB-BH-08,10.200.24.199,5C-F9-DD-E9-94-FA  ,General,Buchanan 234A
LAB-BH-09,10.200.25.5,5C-F9-DD-E9-7B-E2  ,General,Buchanan 234A
LAB-BH-10,10.200.24.235,5C-F9-DD-E9-7C-17  ,General,Buchanan 234A
LAB-BH-11,10.200.25.112,5C-F9-DD-E9-7B-6C  ,General,Buchanan 234A
LAB-BH-12,10.200.24.245,5C-F9-DD-E9-73-BF  ,General,Buchanan 234A
LAB-BH-13,10.200.24.222,5C-F9-DD-E9-7B-BF  ,General,Buchanan 234A
LAB-BH-14,10.200.24.213,5C-F9-DD-E9-8C-B8  ,General,Buchanan 234A
LAB-BH-15,10.200.25.115,5C-F9-DD-E9-7F-68  ,General,Buchanan 234A
LAB-BH-16,10.200.24.203,5C-F9-DD-E9-94-E9  ,General,Buchanan 234A
LAB-CEC204-01,10.194.227.211,18-66-DA-23-61-BF,COE,CEC 204
LAB-CEC204-02,10.194.227.206,18-66-DA-23-62-2A,COE,CEC 204
LAB-CEC204-03,10.194.227.204,18-66-DA-23-61-DA,COE,CEC 204
LAB-CEC204-04,10.194.227.203,18-66-DA-23-44-21,COE,CEC 204
LAB-CEC204-05,10.194.227.210,18-66-DA-23-59-10,COE,CEC 204
LAB-CEC204-06,10.194.227.209,18-66-DA-23-61-F4,COE,CEC 204
LAB-CEC204-07,10.194.227.208,18-66-DA-23-59-75,COE,CEC 204
LAB-CEC204-08,129.15.115.160,18-66-DA-23-5D-C6,COE,CEC 204
LAB-CEC204-TCH,,90-B1-1C-60-5B-5A,COE,CEC 204
LAB-CEC205-01,10.194.5.126,18-66-DA-23-B2-FB,COE,CEC 205
LAB-CEC205-02,10.194.5.42,18-66-DA-23-A6-87  ,COE,CEC 205
LAB-CEC205-03,10.194.5.156,18-66-DA-23-6A-13  ,COE,CEC 205
LAB-CEC205-04,10.194.5.41,18-66-DA-23-AB-BF  ,COE,CEC 205
LAB-CEC205-05,10.194.5.4,18-66-DA-23-A0-CF  ,COE,CEC 205
LAB-CEC205-06,10.194.227.185,18-66-DA-23-71-7F  ,COE,CEC 205
LAB-CEC205-07,10.194.5.38,18-66-DA-23-B5-6E  ,COE,CEC 205
LAB-CEC205-08,10.194.5.35,18-66-DA-23-9B-41  ,COE,CEC 205
LAB-CEC205-09,10.194.5.136,18-66-DA-23-AB-D0  ,COE,CEC 205
LAB-CEC205-10,10.194.5.135,18-66-DA-23-71-E4  ,COE,CEC 205
LAB-CEC205-11,10.194.5.33,18-66-DA-23-69-6B  ,COE,CEC 205
LAB-CEC205-12,10.194.5.32,18-66-DA-23-A6-B5  ,COE,CEC 205
LAB-CEC205-13,10.194.5.31,18-66-DA-23-B5-7F  ,COE,CEC 205
LAB-CEC205-14,10.194.5.29,18-66-DA-23-6E-7B  ,COE,CEC 205
LAB-CEC205-15,10.194.5.27,18-66-DA-23-73-B2  ,COE,CEC 205
LAB-CEC205-16,10.194.5.25,18-66-DA-23-6E-FD  ,COE,CEC 205
LAB-CEC205-17,10.194.4.45,18-66-DA-23-73-0B  ,COE,CEC 205
LAB-CEC205-18,10.194.4.52,18-66-DA-23-72-ED  ,COE,CEC 205
LAB-CEC205-19,10.194.5.19,18-66-DA-23-84-17  ,COE,CEC 205
LAB-CEC205-20,10.194.5.163,18-66-DA-23-A6-C8  ,COE,CEC 205
LAB-CEC205-21,10.194.5.15,18-66-DA-23-72-C5  ,COE,CEC 205
LAB-CEC205-22,10.194.5.13,18-66-DA-23-69-A7  ,COE,CEC 205
LAB-CEC205-23,10.194.5.10,18-66-DA-23-74-AF  ,COE,CEC 205
LAB-CEC205-24,10.194.5.9,18-66-DA-23-6F-47  ,COE,CEC 205
LAB-CEC205-25,10.194.5.17,18-66-DA-23-82-75  ,COE,CEC 205
LAB-CEC205-26,10.194.4.9,48-4D-7E-D7-2D-FF  ,COE,CEC 205
LAB-CEC205-27,10.194.4.247,18-66-DA-23-73-4A  ,COE,CEC 205
